draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48394,0.393995,13.6592,2.6517,0.0
2,46713,0.393616,17.122,2.5514,0.06343
3,42280,0.396618,19.0002,2.6501,0.124551
4,35758,0.404021,19.4719,3.5685,0.174674
5,28549,0.416687,18.7051,5.0687,0.212512
6,21733,0.442691,16.897,6.7513,0.246584
7,15837,0.482351,14.4144,8.3886,0.282124
8,9998,0.521004,12.4658,9.2664,0.276355
9,5838,0.55841,10.5325,10.0265,0.27715
10,3056,0.567408,8.7688,10.3667,0.312173
11,1337,0.575916,7.4171,10.7704,0.327599
12,512,0.580078,5.4667,11.6881,0.328125
13,161,0.571429,3.8046,14.2351,0.397516
14,38,0.447368,6.8401,11.9452,0.5
15,9,0.666667,1.6461,5.9844,0.333333
16,1,1.0,3.104,0.0,0.0
