round_length_draws,count,proportion
0,3326,0.01663
1,6811,0.034055
2,18470,0.09235
3,26218,0.13109
4,29426,0.14713
5,29866,0.14933
6,27824,0.13912
7,23526,0.11763
8,15900,0.0795
9,9708,0.04854
10,5333,0.026665
11,2307,0.011535
12,874,0.00437
13,301,0.001505
14,87,0.000435
15,20,0.0001
16,3,1.5e-05
