draw_number_k,attempts,busts,bust_rate
1,149475,0,0.0
2,144775,9288,0.064155
3,130898,16340,0.12483
4,109850,19130,0.174147
5,87742,18953,0.216008
6,65811,16199,0.246144
7,46169,12414,0.268882
8,28404,7637,0.268871
9,15957,4439,0.278185
10,8014,2451,0.30584
11,3456,1163,0.336516
12,1264,414,0.327532
13,412,143,0.347087
14,113,46,0.40708
15,36,9,0.25
16,11,5,0.454545
