card,count,proportion
0,8446,0.010659
1,8332,0.010515
10,84113,0.106151
10+,8364,0.010555
11,92725,0.11702
12,101933,0.12864
2,16738,0.021124
2+,8251,0.010413
2x,8303,0.010478
3,25035,0.031594
4,33669,0.042491
4+,8381,0.010577
5,41960,0.052954
6,50558,0.063805
6+,8343,0.010529
7,59123,0.074614
8,67460,0.085135
8+,8187,0.010332
9,76410,0.09643
f3,25262,0.031881
fr,26018,0.032835
sec,24776,0.031268
