total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1071,0.535948,0.0,0.0,0.0,0.0
1,1691,0.568303,6.9645,4.0246,0.0,0.0
2,4501,0.545212,4.8674,7.5302,0.664963,0.0
3,6590,0.544917,3.9326,8.6692,0.808649,0.0
4,7215,0.545253,3.6951,9.7022,0.858905,0.0
5,7119,0.538559,3.3356,10.1231,0.892962,0.0
6,6103,0.520728,3.832,11.8572,0.895953,0.0
7,5739,0.586688,14.6041,26.3967,0.75135,0.171458
8,4145,0.617612,22.1747,32.716,0.66152,0.264174
9,2801,0.649768,28.3624,36.5723,0.597644,0.342735
10,1686,0.658956,33.9383,40.0937,0.54745,0.384935
11,833,0.64946,36.8643,44.2387,0.553421,0.392557
12,349,0.673352,43.5931,46.8387,0.495702,0.467049
13,110,0.681818,46.8727,48.1377,0.472727,0.418182
14,30,0.7,47.6,51.5704,0.5,0.466667
15,11,0.636364,56.7273,55.7121,0.454545,0.545455
16,6,0.666667,42.5,42.7931,0.5,0.5
