player,threshold,games,mean_score,std_score,median_score,win_rate,bust_rate,flip7_rate,avg_draws_per_round,avg_second_chances_used
Bot A,0.45,50000,12.9701,23.2793,0.0,0.44852,0.68226,0.0501,5.1971,0.105
Bot B,0.45,50000,12.8349,23.1896,0.0,0.44506,0.67552,0.04974,5.131,0.1016
Bot C,0.45,50000,12.619,23.0779,0.0,0.44192,0.67196,0.04834,5.0918,0.1019
Custom,0.6,50000,9.9115,22.6807,0.0,0.39388,0.72792,0.08534,5.2043,0.1188
