duplicate_number,bust_count,proportion_of_busts
2,682,0.004955
3,1792,0.013019
4,3631,0.026379
5,5552,0.040335
6,8224,0.059747
7,11013,0.08001
8,14057,0.102124
9,17390,0.126339
10,21080,0.153146
11,24816,0.180289
12,29409,0.213657
