draw_number_k,attempts,busts,bust_rate
1,196619,0,0.0
2,190015,12453,0.065537
3,171476,21377,0.124665
4,143366,24590,0.171519
5,109487,22872,0.208902
6,76303,17604,0.230712
7,48291,11713,0.24255
8,26954,6551,0.243044
9,13751,3526,0.256418
10,6190,1760,0.28433
11,2446,673,0.275143
12,836,256,0.30622
13,263,86,0.326996
14,77,26,0.337662
15,15,3,0.2
16,4,1,0.25
17,2,0,0.0
18,1,0,0.0
