total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1665,0.38018,0.0,0.0,0.0,0.0
1,1592,0.392588,7.1796,3.8931,0.0,0.0
2,4624,0.370242,4.4375,7.2015,0.682958,0.0
3,8193,0.393995,9.5068,13.443,0.645551,0.0
4,11879,0.428403,17.7968,17.1796,0.467295,0.0
5,10067,0.456045,22.4752,19.2112,0.396046,0.0
6,6312,0.494138,26.4018,21.5129,0.355038,0.0
7,3290,0.523708,30.0152,23.5323,0.325228,0.029179
8,1485,0.548148,33.47,25.768,0.308418,0.052525
9,585,0.594872,35.9795,27.5201,0.302564,0.059829
10,208,0.610577,41.4423,30.0429,0.278846,0.149038
11,73,0.630137,43.6575,32.726,0.287671,0.246575
12,17,0.529412,40.2941,28.0771,0.294118,0.235294
13,5,0.8,51.8,26.1947,0.2,0.8
14,5,1.0,92.6,19.8957,0.0,0.4
