card,count,proportion
0,10534,0.010681
1,10369,0.010514
10,105321,0.106795
10+,10259,0.010403
11,115720,0.117339
12,126261,0.128028
2,20688,0.020978
2+,10432,0.010578
2x,10204,0.010347
3,31130,0.031566
4,42182,0.042772
4+,10393,0.010538
5,52366,0.053099
6,63154,0.064038
6+,10561,0.010709
7,73207,0.074231
8,83813,0.084986
8+,10521,0.010668
9,94890,0.096218
f3,30885,0.031317
fr,32275,0.032727
sec,31034,0.031468
