duplicate_number,bust_count,proportion_of_busts
2,628,0.005085
3,1773,0.014357
4,3250,0.026318
5,5158,0.041768
6,7409,0.059996
7,9897,0.080143
8,12822,0.103829
9,15776,0.12775
10,18782,0.152092
11,22094,0.178912
12,25902,0.209748
