draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196690,13.6887,2.6289,
2,190094,17.1257,2.5304,3.4369880503418333
3,171513,19.0032,2.6116,1.8775172131102558
4,143363,19.5028,3.5212,0.4995856337075395
5,109217,18.9596,4.9455,-0.5432152783401811
6,76203,17.7632,6.2961,-1.1963977457557071
7,48079,16.5286,7.301,-1.2345712431224456
8,27163,15.5409,7.9509,-0.98771732152853
9,13918,14.8276,8.4089,-0.7133445541788443
10,6251,14.2938,9.0016,-0.5337943808310115
11,2494,13.7065,9.4918,-0.5872503043818966
12,872,12.7586,10.1556,-0.9479536713621588
13,259,11.4097,11.5276,-1.3489340348365637
14,61,11.3295,11.0827,-0.0801454586485768
15,16,6.5015,13.8795,-4.828042868120326
16,4,8.8861,7.8289,2.384594467275811
17,1,19.9758,0.0,11.089783571135335
18,1,18.4881,0.0,-1.4877049931707305
