draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48858,0.620594,13.6904,2.6129,0.0
2,47191,0.62122,17.1301,2.505,0.066644
3,42503,0.628473,19.0036,2.6005,0.122674
4,34383,0.641596,19.6198,3.4327,0.167408
5,21994,0.651041,19.9651,4.4196,0.179594
6,11715,0.66624,20.1742,5.4322,0.180538
7,5516,0.672226,20.1885,6.4673,0.177484
8,2383,0.688628,20.1722,7.2792,0.189257
9,946,0.700846,20.1356,8.1279,0.20296
10,321,0.722741,20.5224,9.1497,0.218069
11,116,0.75,19.6628,10.4409,0.267241
12,27,0.814815,21.8435,9.0253,0.259259
13,10,0.7,15.8239,14.546,0.2
