round_length_draws,count,proportion
0,50622,0.25311
1,4692,0.02346
2,14033,0.070165
3,22486,0.11243
4,27184,0.13592
5,24962,0.12481
6,19900,0.0995
7,15236,0.07618
8,9607,0.048035
9,5924,0.02962
10,3067,0.015335
11,1461,0.007305
12,567,0.002835
13,193,0.000965
14,46,0.00023
15,15,7.5e-05
16,5,2.5e-05
