player,threshold,games,mean_score,std_score,median_score,win_rate,bust_rate,flip7_rate,avg_draws_per_round,avg_second_chances_used
Bot A,0.45,50000,12.8975,23.3545,0.0,0.3425,0.6876,0.05128,5.2088,0.106
Bot B,0.45,50000,12.9459,23.338,0.0,0.34404,0.67428,0.04984,5.1464,0.1022
Bot C,0.45,50000,12.7078,23.1829,0.0,0.34124,0.66762,0.0489,5.0759,0.1
Custom,0.3,50000,17.9373,19.7289,9.0,0.44146,0.44032,0.00536,4.2908,0.0555
