draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48431,0.408891,13.6758,2.6344,0.0
2,46772,0.409796,17.1343,2.5312,0.065723
3,42277,0.414504,19.0247,2.6532,0.126404
4,35663,0.423156,19.5077,3.5941,0.177635
5,28332,0.440527,18.7309,5.0495,0.21834
6,21329,0.471049,17.0227,6.6271,0.24966
7,14938,0.515129,15.0013,7.7645,0.261012
8,9241,0.548425,13.5464,8.4764,0.263716
9,5171,0.568555,12.0759,9.0188,0.267646
10,2539,0.575817,11.1193,9.6255,0.294998
11,1041,0.574448,10.4871,9.7482,0.330451
12,367,0.580381,10.8255,10.4016,0.384196
13,111,0.63964,10.0508,9.2971,0.333333
14,34,0.705882,7.2048,8.2916,0.264706
15,8,0.625,2.2854,11.3077,0.25
16,1,0.0,15.9479,0.0,1.0
