round_length_draws,count,proportion
0,3221,0.016105
1,6762,0.03381
2,18428,0.09214
3,26565,0.132825
4,29402,0.14701
5,30226,0.15113
6,28087,0.140435
7,23196,0.11598
8,16040,0.0802
9,9692,0.04846
10,4942,0.02471
11,2261,0.011305
12,845,0.004225
13,227,0.001135
14,86,0.00043
15,18,9e-05
16,2,1e-05
