draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196779,13.6845,2.6295,
2,190017,17.1317,2.5191,3.447164360392849
3,171589,19.0092,2.622,1.8775252690800777
4,145024,19.4658,3.5575,0.45660569483861124
5,115622,18.6895,5.0212,-0.7763567157454219
6,85396,17.2559,6.4044,-1.4335974259018514
7,57309,15.7294,7.4078,-1.526480823701883
8,34113,14.6657,8.0284,-1.0636589464837751
9,18073,13.6753,8.5537,-0.9904394571380166
10,8381,12.9346,9.0956,-0.7407308288869725
11,3439,12.2954,9.4929,-0.6391173033021751
12,1178,11.8279,10.3076,-0.4675879903392097
13,333,11.6165,9.92,-0.21131575687993553
14,106,9.8143,11.1898,-1.8022903402284758
15,20,3.8707,12.916,-5.943591952568909
16,2,12.4067,3.5412,8.53600709226576
