draw_number_k,attempts,busts,bust_rate
1,149362,0,0.0
2,144500,9499,0.065737
3,130465,16275,0.124746
4,109685,19261,0.175603
5,87486,19042,0.217658
6,65394,16189,0.247561
7,45322,11968,0.264066
8,27621,7328,0.265305
9,15217,4204,0.27627
10,7441,2167,0.291224
11,3159,1002,0.317189
12,1113,375,0.336927
13,347,127,0.365994
14,111,38,0.342342
15,21,5,0.238095
16,3,1,0.333333
17,1,1,1.0
