duplicate_number,bust_count,proportion_of_busts
2,625,0.00457
3,1835,0.013417
4,3470,0.025373
5,5701,0.041686
6,7977,0.058328
7,10700,0.078238
8,14155,0.103501
9,17402,0.127243
10,21034,0.1538
11,24800,0.181337
12,29063,0.212508
