player,threshold,games,mean_score,std_score,median_score,win_rate,bust_rate,flip7_rate,avg_draws_per_round,avg_second_chances_used
Bot A,0.45,50000,12.9624,23.3558,0.0,0.43988,0.68586,0.05198,5.1928,0.1018
Bot B,0.45,50000,12.7823,23.2519,0.0,0.4338,0.67778,0.05096,5.1359,0.103
Bot C,0.45,50000,12.8431,23.3333,0.0,0.43606,0.66466,0.05028,5.0723,0.1011
Custom,0.5,50000,11.1679,23.2305,0.0,0.40636,0.70106,0.07266,5.141,0.1106
