card,count,proportion
0,8339,0.010593
1,8212,0.010431
10,83887,0.106557
10+,8189,0.010402
11,92878,0.117978
12,100969,0.128256
2,16695,0.021207
2+,8368,0.010629
2x,8097,0.010285
3,24931,0.031669
4,33493,0.042544
4+,8286,0.010525
5,41922,0.053251
6,50211,0.06378
6+,8292,0.010533
7,59052,0.075011
8,66669,0.084686
8+,8193,0.010407
9,75422,0.095805
f3,24861,0.03158
fr,25716,0.032666
sec,24566,0.031205
