draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48299,0.37773,13.6879,2.6306,0.0
2,11096,0.399243,16.0627,3.6149,0.018745
3,4620,0.418831,18.5332,3.4402,0.086797
4,1884,0.468153,19.5519,3.9725,0.145966
5,314,0.44586,21.3141,5.4128,0.146497
6,60,0.433333,22.0562,7.7246,0.2
7,10,0.2,17.3212,7.1131,0.2
8,3,0.0,21.6598,4.31,0.0
