draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196651,13.6855,2.6342,
2,154484,17.0555,2.6323,3.3699618808241176
3,134796,18.9896,2.6462,1.9341458550185493
4,112228,19.463,3.5343,0.47336095007488765
5,88415,18.6913,5.0077,-0.7716484305513269
6,64666,17.2828,6.3301,-1.4085161908440647
7,42351,16.0065,7.1641,-1.2763263806917244
8,24554,15.0496,7.7481,-0.9568931573774364
9,12746,14.2258,8.2095,-0.8237755778409639
10,5881,13.5788,8.724,-0.6470002843763414
11,2326,12.5709,9.503,-1.0079424784200892
12,804,12.162,10.5373,-0.4088627654876493
13,237,12.4925,11.2924,0.3305257215228288
14,62,9.401,12.0452,-3.091502217417066
15,5,8.1535,14.2663,-1.2475086717653365
16,2,-0.2288,2.5323,-8.382374634008563
