duplicate_number,bust_count,proportion_of_busts
2,499,0.004836
3,1411,0.013673
4,2724,0.026397
5,4266,0.041339
6,6146,0.059557
7,8198,0.079442
8,10365,0.100441
9,13215,0.128059
10,15794,0.15305
11,18831,0.18248
12,21746,0.210727
