card,count,proportion
0,8880,0.010568
1,8905,0.010598
10,89627,0.106663
10+,8864,0.010549
11,98751,0.117521
12,107998,0.128526
2,17634,0.020986
2+,8848,0.01053
2x,8840,0.01052
3,26869,0.031976
4,35892,0.042714
4+,8858,0.010542
5,44642,0.053127
6,53711,0.06392
6+,8884,0.010573
7,62450,0.07432
8,71750,0.085388
8+,8814,0.010489
9,80402,0.095685
f3,26418,0.031439
fr,27128,0.032284
sec,26117,0.031081
