draw_number_k,attempts,busts,bust_rate
1,149372,0,0.0
2,108113,6587,0.060927
3,92855,11304,0.121738
4,76361,13316,0.174382
5,59850,13127,0.219332
6,44190,10852,0.245576
7,30339,7936,0.261578
8,18404,4942,0.268529
9,9952,2706,0.271905
10,4856,1442,0.296952
11,2053,673,0.327813
12,715,245,0.342657
13,190,70,0.368421
14,50,15,0.3
15,11,2,0.181818
16,4,1,0.25
17,2,2,1.0
