draw_number_k,attempts,busts,bust_rate
1,196658,0,0.0
2,190037,12492,0.065735
3,171519,21144,0.123275
4,145370,25342,0.174328
5,115959,25092,0.216387
6,85875,20884,0.243191
7,58015,14941,0.257537
8,34640,8844,0.255312
9,18690,4999,0.267469
10,8979,2624,0.292237
11,3691,1148,0.311027
12,1299,409,0.314858
13,430,154,0.35814
14,118,39,0.330508
15,33,14,0.424242
16,4,2,0.5
