round_length_draws,count,proportion
0,50567,0.252835
1,4747,0.023735
2,13853,0.069265
3,21030,0.10515
4,22170,0.11085
5,21876,0.10938
6,19627,0.098135
7,17769,0.088845
8,12338,0.06169
9,7957,0.039785
10,4624,0.02312
11,2187,0.010935
12,872,0.00436
13,288,0.00144
14,66,0.00033
15,25,0.000125
16,4,2e-05
