draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,149433,13.6839,2.635,
2,144686,17.1359,2.5198,3.4520077817650456
3,130833,19.0115,2.6025,1.8755085285303004
4,109803,19.4706,3.5099,0.4591721782912366
5,87633,18.7033,4.9751,-0.7672860450737815
6,65757,17.0235,6.4986,-1.6798633190859427
7,46130,14.802,8.0306,-2.221455639051186
8,28361,13.0295,8.9475,-1.7725685354251883
9,16023,11.3946,9.744,-1.6348214691443292
10,8066,9.8353,10.3371,-1.5593677292536547
11,3442,8.0084,11.2814,-1.826881833716433
12,1255,6.6741,12.4567,-1.334309886364502
13,383,5.0273,13.5385,-1.6467675134006985
14,95,4.4229,16.0066,-0.6043728949749205
15,29,2.2463,11.2391,-2.1766622259258543
16,4,3.0998,1.6741,0.8535312203198968
