duplicate_number,bust_count,proportion_of_busts
2,631,0.004569
3,1862,0.013482
4,3547,0.025683
5,5626,0.040736
6,8342,0.060402
7,10842,0.078503
8,14008,0.101427
9,17562,0.12716
10,21414,0.155051
11,25021,0.181168
12,29254,0.211818
