total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1676,0.379475,0.0,0.0,0.0,0.0
1,1627,0.401967,6.9883,3.9672,0.0,0.0
2,4489,0.371352,4.8534,7.4491,0.659835,0.0
3,6510,0.362212,3.9226,8.6763,0.81275,0.0
4,7187,0.364686,3.8385,10.013,0.859747,0.0
5,6943,0.347832,3.5995,10.936,0.893994,0.0
6,5882,0.33492,3.5651,11.5571,0.905474,0.0
7,5648,0.441572,14.1558,26.0666,0.758676,0.171211
8,4188,0.483047,23.1371,33.3209,0.653295,0.282474
9,2813,0.541059,28.3199,36.5533,0.599005,0.341628
10,1699,0.575044,34.1907,39.5925,0.541495,0.396704
11,844,0.556872,36.6991,43.0807,0.543839,0.390995
12,334,0.54491,40.7186,46.8575,0.52994,0.413174
13,110,0.572727,42.3,48.898,0.536364,0.436364
14,39,0.564103,48.5897,45.0929,0.435897,0.538462
15,8,0.5,49.125,51.3747,0.5,0.5
16,3,0.333333,0.0,0.0,1.0,0.0
