draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48904,0.566191,13.6712,2.6432,0.0
2,47280,0.564827,17.1285,2.5418,0.063473
3,42796,0.566315,19.015,2.6385,0.125292
4,36189,0.567963,19.487,3.5323,0.173533
5,28943,0.576789,18.6998,5.0074,0.213869
6,21993,0.58796,16.8722,6.6504,0.24717
7,15961,0.615062,14.2899,8.3692,0.278366
8,10078,0.634551,12.2018,9.306,0.269597
9,5895,0.649364,10.4137,10.0169,0.282782
10,3022,0.660159,8.5657,10.6912,0.316347
11,1309,0.656226,6.5913,11.7324,0.350649
12,480,0.658333,5.624,12.4816,0.34375
13,152,0.644737,4.2829,13.3119,0.355263
14,41,0.634146,6.5345,12.6803,0.414634
15,13,0.461538,-0.756,10.4928,0.615385
16,2,0.0,2.0748,1.014,0.5
