draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196671,13.6878,2.6345,
2,177567,17.0619,2.577,3.37405902361437
3,145568,18.9851,2.7099,1.9232350981122188
4,116453,19.4949,3.5892,0.5098439105434451
5,90299,18.753,5.0072,-0.741936744729486
6,65531,17.3224,6.346,-1.4305944016184924
7,42887,16.0254,7.2065,-1.296982767318962
8,24809,15.0442,7.75,-0.9812652590622939
9,12810,14.3129,8.2138,-0.7313056327979712
10,5821,13.5574,8.754,-0.7555050951818192
11,2287,12.8247,9.0796,-0.7326059257545356
12,804,11.4118,9.7219,-1.4129234069840901
13,209,11.0232,10.3966,-0.3886461096483309
14,55,11.7636,11.1411,0.7403757277453415
15,14,5.9716,13.0739,-5.7919767916423615
16,1,5.0802,0.0,-0.8913839996491619
