round_length_draws,count,proportion
0,50700,0.2535
1,18344,0.09172
2,27531,0.137655
3,22775,0.113875
4,18869,0.094345
5,16694,0.08347
6,14166,0.07083
7,12162,0.06081
8,8613,0.043065
9,5230,0.02615
10,2895,0.014475
11,1339,0.006695
12,491,0.002455
13,134,0.00067
14,43,0.000215
15,7,3.5e-05
16,5,2.5e-05
17,2,1e-05
