total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1644,0.372263,0.0,0.0,0.0,0.0
1,13868,0.384699,10.7581,2.0474,0.0,0.0
2,18388,0.41712,14.469,5.5826,0.091636,0.0
3,9768,0.448198,17.1587,8.0529,0.113227,0.0
4,4077,0.432426,19.7437,11.0105,0.155752,0.0
5,1559,0.443233,23.356,14.4008,0.187941,0.0
6,506,0.537549,29.3281,16.4041,0.136364,0.0
7,144,0.618056,31.0764,17.6203,0.152778,0.0
8,34,0.647059,41.7647,19.1788,0.058824,0.058824
9,5,0.6,48.4,12.627,0.0,0.2
10,5,0.8,46.4,13.4551,0.0,0.0
11,2,1.0,42.0,10.0,0.0,0.0
