player,threshold,games,mean_score,std_score,median_score,win_rate,bust_rate,flip7_rate,avg_draws_per_round,avg_second_chances_used
Bot A,0.45,50000,13.1551,23.753,0.0,0.28544,0.69318,0.05356,5.2551,0.1063
Bot B,5.45,50000,10.257,23.1931,0.0,0.21992,0.74502,0.09028,5.3315,0.1201
Bot C,-4.55,50000,0.3445,2.8307,0.0,0.05818,0.00406,0.0,0.0588,0.0
Custom,0.1,50000,14.2405,7.7067,13.0,0.59182,0.07132,8e-05,2.1329,0.0061
