duplicate_number,bust_count,proportion_of_busts
2,520,0.004915
3,1485,0.014037
4,2788,0.026354
5,4414,0.041723
6,6442,0.060893
7,8649,0.081755
8,11036,0.104318
9,13585,0.128412
10,16012,0.151354
11,19184,0.181337
12,21677,0.204902
