draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48336,0.414039,13.699,2.6321,0.0
2,34216,0.425006,16.7727,2.7159,0.048311
3,15926,0.433819,18.8428,3.3161,0.070011
4,6295,0.442415,20.1978,4.0989,0.101191
5,2292,0.447208,20.7984,5.1245,0.123473
6,693,0.484848,21.4222,6.3396,0.112554
7,187,0.508021,22.3661,7.0273,0.122995
8,58,0.603448,22.6711,7.7451,0.137931
9,15,0.666667,22.8902,8.5302,0.133333
10,2,1.0,25.4069,9.5157,0.0
11,1,1.0,37.7327,0.0,0.0
12,1,1.0,25.5032,0.0,0.0
