card,count,proportion
0,9254,0.010495
1,9159,0.010387
10,93925,0.106517
10+,9281,0.010525
11,103561,0.117445
12,113433,0.12864
2,18496,0.020976
2+,9294,0.01054
2x,9306,0.010554
3,27953,0.0317
4,37312,0.042314
4+,9121,0.010344
5,46809,0.053084
6,56250,0.063791
6+,9288,0.010533
7,65841,0.074668
8,75456,0.085572
8+,9294,0.01054
9,84269,0.095566
f3,27978,0.031729
fr,28716,0.032566
sec,27790,0.031516
