draw_number_k,attempts,busts,bust_rate
1,196682,0,0.0
2,190098,12545,0.065992
3,171399,21335,0.124476
4,145034,25077,0.172904
5,115845,24965,0.215503
6,85841,20854,0.242938
7,57966,14817,0.255615
8,34570,8922,0.258085
9,18677,5107,0.273438
10,8808,2506,0.284514
11,3688,1096,0.29718
12,1316,420,0.319149
13,416,162,0.389423
14,110,38,0.345455
15,29,15,0.517241
16,6,2,0.333333
17,3,1,0.333333
18,1,0,0.0
