card,count,proportion
0,10808,0.010488
1,10794,0.010475
10,110163,0.106904
10+,10778,0.010459
11,120675,0.117105
12,131852,0.127951
2,21788,0.021143
2+,10729,0.010412
2x,10914,0.010591
3,32685,0.031718
4,44223,0.042915
4+,10846,0.010525
5,55219,0.053585
6,65546,0.063607
6+,10781,0.010462
7,77054,0.074774
8,87745,0.085149
8+,10910,0.010587
9,98981,0.096052
f3,32526,0.031564
fr,33757,0.032758
sec,31715,0.030777
