draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196455,13.6722,2.6445,
2,189745,17.1174,2.5314,3.4451919725771987
3,171191,19.0047,2.6386,1.8872753399472408
4,144727,19.4803,3.5588,0.4756211741094418
5,115595,18.7222,5.0045,-0.7581205157620836
6,85444,17.25,6.3977,-1.4722530302036283
7,57758,15.5944,7.563,-1.655598007519428
8,34234,14.2953,8.2988,-1.2990671074329914
9,18455,13.0796,9.0319,-1.2156889008525589
10,8845,11.9561,9.697,-1.1235036040806659
11,3607,11.0465,10.4238,-0.9096407343575503
12,1280,10.4873,11.2836,-0.5591832743109713
13,398,8.5172,13.0008,-1.9700351472318705
14,97,9.1097,12.4953,0.5924291446278076
15,15,8.7269,15.9289,-0.3827875840445749
16,1,-2.9588,0.0,-11.685724990714808
