player,threshold,games,mean_score,std_score,median_score,win_rate,bust_rate,flip7_rate,avg_draws_per_round,avg_second_chances_used
Bot A,0.45,50000,12.9768,23.3062,0.0,0.4522,0.68284,0.05064,5.189,0.1024
Bot B,0.45,50000,12.7864,23.1848,0.0,0.4482,0.67778,0.04874,5.1375,0.1024
Bot C,0.45,50000,12.6745,23.1133,0.0,0.44816,0.66674,0.04904,5.0733,0.1018
Custom,0.9,50000,9.6529,22.3813,0.0,0.39566,0.72898,0.08226,5.1571,0.1145
