draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48250,0.396,13.6878,2.6287,0.0
2,46586,0.395527,17.135,2.5135,0.066136
3,42011,0.399491,19.0227,2.6367,0.127205
4,35426,0.408429,19.4782,3.5828,0.173234
5,28284,0.422041,18.7227,5.0578,0.218852
6,21378,0.445785,16.9568,6.6976,0.25124
7,15462,0.484801,14.4521,8.3783,0.278425
8,9832,0.520952,12.4836,9.3309,0.276648
9,5748,0.546103,10.581,10.1472,0.294189
10,2941,0.560354,8.7879,10.7513,0.316559
11,1271,0.579072,7.0128,11.2176,0.328875
12,471,0.579618,6.3644,12.0749,0.392781
13,147,0.612245,4.3164,14.467,0.387755
14,39,0.615385,5.3115,14.1568,0.384615
15,9,0.666667,5.1702,16.5799,0.333333
16,1,0.0,-2.9588,0.0,1.0
