total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1135,0.569163,0.0,0.0,0.0,0.0
1,1774,0.588501,7.0242,3.9596,0.0,0.0
2,4555,0.559824,4.6112,7.3157,0.673546,0.0
3,6416,0.549096,4.084,8.8223,0.804239,0.0
4,7310,0.530506,3.5282,9.5702,0.866621,0.0
5,6969,0.533075,3.4906,10.3622,0.888506,0.0
6,6132,0.524299,3.5952,11.4072,0.901174,0.0
7,5788,0.596752,15.1774,26.782,0.743262,0.181237
8,4018,0.606521,22.5811,33.1572,0.659034,0.271279
9,2875,0.631304,28.9082,36.5781,0.589565,0.347478
10,1682,0.674792,32.7675,39.4956,0.56302,0.382878
11,836,0.654306,39.7368,43.0203,0.5,0.438995
12,358,0.648045,39.0754,45.324,0.536313,0.418994
13,114,0.736842,49.3684,48.323,0.45614,0.526316
14,30,0.533333,37.3333,49.5441,0.6,0.333333
15,6,0.666667,32.3333,46.4351,0.666667,0.333333
16,1,0.0,0.0,0.0,1.0,0.0
17,1,1.0,0.0,0.0,1.0,0.0
