draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48326,0.397157,13.6832,2.6474,0.0
2,46662,0.397261,17.1183,2.5436,0.065385
3,42092,0.400884,18.9965,2.6379,0.123325
4,35705,0.409887,19.4755,3.5581,0.174485
5,28515,0.424864,18.6983,5.0191,0.213326
6,21712,0.448047,16.9017,6.6282,0.247789
7,15804,0.493166,14.3423,8.3263,0.273728
8,10115,0.529115,12.2133,9.3183,0.276322
9,5860,0.557338,10.5219,10.1761,0.289932
10,3017,0.586676,8.7388,10.7377,0.306927
11,1328,0.588102,6.9046,11.2891,0.340361
12,484,0.630165,4.4693,11.5835,0.32438
13,158,0.639241,1.7339,13.617,0.341772
14,52,0.615385,4.402,12.9193,0.5
15,12,0.666667,-1.5003,12.1069,0.333333
16,3,0.666667,-11.9496,18.6992,0.333333
