total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1100,0.525455,0.0,0.0,0.0,0.0
1,1653,0.594071,7.0508,3.9025,0.0,0.0
2,4599,0.557078,4.6801,7.4211,0.675147,0.0
3,6483,0.551288,3.942,8.731,0.810582,0.0
4,7255,0.535079,3.3283,9.324,0.874294,0.0
5,7043,0.536135,3.4558,10.5493,0.893369,0.0
6,5987,0.532654,3.9435,11.8563,0.891097,0.0
7,5855,0.586507,14.9119,26.4839,0.744492,0.178992
8,4221,0.612888,23.0367,33.2091,0.653163,0.274579
9,2888,0.65097,29.7735,37.0746,0.580679,0.361842
10,1679,0.677189,32.8183,38.896,0.553901,0.380584
11,809,0.698393,41.3894,44.2073,0.493201,0.447466
12,284,0.704225,43.669,44.3234,0.471831,0.485915
13,98,0.72449,47.1939,51.4775,0.5,0.438776
14,31,0.677419,53.3871,50.3354,0.419355,0.548387
15,13,0.615385,50.9231,58.3352,0.538462,0.461538
16,1,0.0,0.0,0.0,1.0,0.0
17,1,1.0,85.0,0.0,0.0,1.0
