player,threshold,games,mean_score,std_score,median_score,win_rate,bust_rate,flip7_rate,avg_draws_per_round,avg_second_chances_used
Bot A,0.45,50000,12.8139,23.2146,0.0,0.44388,0.68738,0.04926,5.1889,0.1026
Bot B,0.45,50000,13.0388,23.4152,0.0,0.4484,0.67114,0.05112,5.1319,0.1001
Bot C,0.45,50000,12.823,23.3062,0.0,0.4465,0.6681,0.04948,5.0878,0.102
Custom,0.7,50000,9.9445,22.8116,0.0,0.39686,0.7275,0.08734,5.1969,0.1159
