draw_number_k,attempts,busts,bust_rate
1,149482,0,0.0
2,144797,9398,0.064905
3,130797,16298,0.124605
4,109860,19114,0.173985
5,87783,19078,0.217331
6,65870,16118,0.244694
7,46384,12265,0.264423
8,28636,7609,0.265714
9,16102,4491,0.278909
10,8003,2455,0.30676
11,3411,1084,0.317795
12,1233,393,0.318735
13,393,137,0.348601
14,111,34,0.306306
15,32,13,0.40625
16,7,5,0.714286
17,1,0,0.0
