duplicate_number,bust_count,proportion_of_busts
2,503,0.004636
3,1476,0.013605
4,2759,0.02543
5,4409,0.040639
6,6290,0.057977
7,8684,0.080043
8,10977,0.101178
9,13801,0.127208
10,16647,0.15344
11,19874,0.183184
12,23072,0.212661
