card,count,proportion
0,10928,0.010607
1,10671,0.010357
10,109701,0.106477
10+,10840,0.010521
11,121109,0.11755
12,131757,0.127885
2,21908,0.021264
2+,10927,0.010606
2x,11044,0.010719
3,32927,0.031959
4,43535,0.042256
4+,10860,0.010541
5,54551,0.052948
6,65535,0.063609
6+,10878,0.010558
7,76567,0.074317
8,88247,0.085654
8+,11012,0.010688
9,98957,0.096049
f3,32519,0.031563
fr,33725,0.032734
sec,32079,0.031136
