round_length_draws,count,proportion
0,3373,0.016865
1,6686,0.03343
2,18536,0.09268
3,26236,0.13118
4,29388,0.14694
5,30050,0.15025
6,27540,0.1377
7,23624,0.11812
8,16033,0.080165
9,9689,0.048445
10,5187,0.025935
11,2368,0.01184
12,901,0.004505
13,281,0.001405
14,79,0.000395
15,19,9.5e-05
16,8,4e-05
17,2,1e-05
