draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196647,13.6774,2.6413,
2,190002,17.1191,2.5417,3.4416621835187655
3,171632,19.0068,2.6224,1.8877099640431183
4,145334,19.4857,3.5568,0.4788842663596107
5,116147,18.7263,5.0141,-0.7594100522500256
6,86011,17.2687,6.4192,-1.4575406346281987
7,58084,15.5912,7.615,-1.6774662843304249
8,34615,14.2647,8.3946,-1.3265212143535248
9,18744,13.0593,9.0433,-1.2054011462084677
10,8979,11.8658,9.7874,-1.19347755227383
11,3736,10.8789,10.4411,-0.9869134743131642
12,1354,9.3931,11.7122,-1.4858725218859679
13,384,9.8032,11.9285,0.41011079776579784
14,106,8.3125,13.2547,-1.4906369784877853
15,20,5.1643,14.6137,-3.148227609297704
16,5,-5.52,12.5732,-10.684349852092582
