round_length_draws,count,proportion
0,3346,0.01673
1,6768,0.03384
2,18331,0.091655
3,26404,0.13202
4,29622,0.14811
5,32103,0.160515
6,29304,0.14652
7,23262,0.11631
8,15164,0.07582
9,8598,0.04299
10,4284,0.02142
11,1863,0.009315
12,670,0.00335
13,206,0.00103
14,58,0.00029
15,15,7.5e-05
16,2,1e-05
