duplicate_number,bust_count,proportion_of_busts
2,625,0.004749
3,1850,0.014056
4,3457,0.026266
5,5479,0.041629
6,7709,0.058573
7,10487,0.07968
8,13370,0.101585
9,16678,0.126719
10,20180,0.153327
11,24038,0.18264
12,27741,0.210775
