total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1121,0.553078,0.0,0.0,0.0,0.0
1,1638,0.606227,7.138,3.9311,0.0,0.0
2,4491,0.55756,4.7072,7.4113,0.672901,0.0
3,6630,0.559578,3.8157,8.5334,0.814178,0.0
4,7592,0.545574,5.4762,12.4014,0.820337,0.0
5,8834,0.589993,13.1823,19.62,0.675458,0.0
6,7831,0.607968,19.728,23.6044,0.567744,0.0
7,5568,0.636674,26.0584,27.2779,0.488506,0.062141
8,3262,0.673513,30.8118,30.2123,0.446045,0.126609
9,1744,0.68406,34.8802,32.2029,0.411124,0.172592
10,807,0.728625,38.8488,35.4073,0.405204,0.247831
11,323,0.739938,45.0464,36.7342,0.349845,0.352941
12,115,0.713043,47.487,39.7904,0.356522,0.321739
13,28,0.75,47.9643,39.1083,0.357143,0.321429
14,12,0.666667,46.5,50.6746,0.5,0.333333
15,4,0.75,46.75,27.1512,0.25,0.25
