draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196654,13.6737,2.6306,
2,189886,17.1148,2.5214,3.441047200468315
3,171555,18.9924,2.6144,1.877631065406355
4,145151,19.4536,3.5628,0.4612265185012667
5,115529,18.7324,4.9849,-0.7212071161981441
6,83426,17.495,6.236,-1.2374854105335409
7,54122,16.3165,7.1489,-1.1784060005736912
8,30860,15.4464,7.7187,-0.8701265925154935
9,15696,14.7115,8.2236,-0.734899514042155
10,7098,14.0494,8.7288,-0.6620922444320243
11,2814,13.345,9.4525,-0.7043995587570144
12,951,12.9773,10.3148,-0.3677435518220449
13,281,12.5079,10.9865,-0.46934117028988354
14,75,12.417,15.022,-0.09094835342245311
15,17,8.8627,14.559,-3.5543081205650875
16,2,14.6278,1.1233,5.765146482902129
