draw_number_k,attempts,busts,bust_rate
1,196654,0,0.0
2,189886,12346,0.065018
3,171555,21211,0.12364
4,145151,25045,0.172544
5,115529,25052,0.216846
6,83426,19734,0.236545
7,54122,13377,0.247164
8,30860,7719,0.25013
9,15696,3931,0.250446
10,7098,1867,0.263032
11,2814,795,0.282516
12,951,302,0.31756
13,281,86,0.30605
14,75,22,0.293333
15,17,4,0.235294
16,2,1,0.5
