card,count,proportion
0,10756,0.01059
1,10812,0.010646
10,108463,0.106793
10+,10731,0.010566
11,119720,0.117877
12,129842,0.127843
2,21628,0.021295
2+,10675,0.010511
2x,10637,0.010473
3,32305,0.031808
4,43130,0.042466
4+,10632,0.010468
5,53917,0.053087
6,64470,0.063477
6+,10682,0.010518
7,75658,0.074493
8,86479,0.085148
8+,10701,0.010536
9,97356,0.095857
f3,32236,0.03174
fr,33177,0.032666
sec,31630,0.031143
