duplicate_number,bust_count,proportion_of_busts
2,683,0.004958
3,1912,0.013878
4,3556,0.025811
5,5658,0.041069
6,8208,0.059578
7,11074,0.080381
8,14025,0.101801
9,17450,0.126661
10,21084,0.153039
11,24868,0.180505
12,29251,0.212319
