draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48841,0.564096,13.6756,2.6382,0.0
2,47148,0.562675,17.1342,2.5382,0.063778
3,42620,0.561473,19.0178,2.6369,0.121868
4,36167,0.562474,19.4998,3.5474,0.175464
5,28843,0.569774,18.7248,4.9875,0.219325
6,21759,0.582977,16.9197,6.6822,0.25139
7,15728,0.606689,14.3262,8.3486,0.281918
8,9854,0.624518,12.3031,9.2387,0.28151
9,5654,0.644323,10.4686,10.0149,0.290944
10,2904,0.653237,8.6516,10.5196,0.328857
11,1240,0.644355,7.5594,10.94,0.333065
12,474,0.651899,5.8888,11.7557,0.379747
13,145,0.655172,4.157,12.0055,0.393103
14,45,0.755556,1.987,14.8591,0.222222
15,17,0.647059,3.3287,16.6863,0.529412
16,3,0.666667,11.3053,6.5995,0.333333
17,1,1.0,-8.7388,0.0,0.0
