player,threshold,games,mean_score,std_score,median_score,win_rate,bust_rate,flip7_rate,avg_draws_per_round,avg_second_chances_used
Bot A,0.45,50000,13.0279,23.3929,0.0,0.45186,0.68284,0.0505,5.1936,0.1044
Bot B,0.45,50000,13.0456,23.5609,0.0,0.44928,0.6745,0.05224,5.1434,0.1023
Bot C,0.45,50000,12.6617,23.2009,0.0,0.44522,0.67094,0.04878,5.079,0.0996
Custom,0.8,50000,9.7855,22.5634,0.0,0.39596,0.72946,0.08392,5.1753,0.1155
