round_length_draws,count,proportion
0,3370,0.01685
1,6653,0.033265
2,18555,0.092775
3,26278,0.13139
4,29313,0.146565
5,30420,0.1521
6,27678,0.13839
7,23375,0.116875
8,15913,0.079565
9,9462,0.04731
10,5224,0.02612
11,2484,0.01242
12,857,0.004285
13,294,0.00147
14,86,0.00043
15,27,0.000135
16,7,3.5e-05
17,4,2e-05
